KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00208	1	Prochlorococcus	1.3.1.9,1.3.1.10	K00208,K00209,K02371,K00208	K00209	1.3.1.10,1.3.1.9
K00208	1	Prochlorococcus	1.3.1.9,1.3.1.10	K00208,K00209,K02371,K00208	K02371	1.3.1.10,1.3.1.9
K00215	1	Prochlorococcus	1.17.1.8	K00215	K00215	1.17.1.8
K00218	1	Prochlorococcus	1.3.1.33	K00218	K00218	1.3.1.33
K00228	1	Prochlorococcus	1.3.3.3	K00228	K00228	1.3.3.3
K00254	1	Prochlorococcus	1.3.5.2	K00254	K00254	1.3.5.2
K00273	1	Prochlorococcus	1.4.3.3	K00273	K00273	1.4.3.3
K00275	1	Prochlorococcus	1.4.3.5	K00275,K23998	K00275	1.4.3.5
K00275	1	Prochlorococcus	1.4.3.5	K00275,K23998	K23998	1.4.3.5
K00278	1	Prochlorococcus	1.4.3.16	K00278	K00278	1.4.3.16
K00281	1	Prochlorococcus	1.4.4.2	K00281,K00282,K00283	K00281	1.4.4.2
K00281	1	Prochlorococcus	1.4.4.2	K00281,K00282,K00283	K00282	1.4.4.2
K00281	1	Prochlorococcus	1.4.4.2	K00281,K00282,K00283	K00283	1.4.4.2
K00284	1	Prochlorococcus	1.4.7.1	K00284	K00284	1.4.7.1
K00286	1	Prochlorococcus	1.5.1.2	K00286	K00286	1.5.1.2
K00297	1	Prochlorococcus	1.5.1.54	K00297,K24042	K00297	1.5.1.54
K00297	1	Prochlorococcus	1.5.1.54	K00297,K24042	K24042	1.5.1.54
K00324	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00323	7.1.1.1
K00324	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00324	7.1.1.1
K00324	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00325	7.1.1.1
K00325	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00323	7.1.1.1
K00325	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00324	7.1.1.1
K00325	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00325	7.1.1.1
K00382	1	Prochlorococcus	1.8.1.4	K00382	K00382	1.8.1.4
K00383	1	Prochlorococcus	1.8.1.7	K00383	K00383	1.8.1.7
K00384	1	Prochlorococcus	1.8.1.9	K00384,K22182	K00384	1.8.1.9
K00384	1	Prochlorococcus	1.8.1.9	K00384,K22182	K22182	1.8.1.9
K00390	1	Prochlorococcus	1.8.4.8,1.8.4.10	K00390	K00390	1.8.4.10,1.8.4.8
K00392	1	Prochlorococcus	1.8.7.1	K00392	K00392	1.8.7.1
K00432	1	Prochlorococcus	1.11.1.9	K00432	K00432	1.11.1.9
K00436	1	Prochlorococcus	1.12.1.2	K00436,K18005,K18006,K18007	K00436	1.12.1.2
K00436	1	Prochlorococcus	1.12.1.2	K00436,K18005,K18006,K18007	K18005	1.12.1.2
K00436	1	Prochlorococcus	1.12.1.2	K00436,K18005,K18006,K18007	K18006	1.12.1.2
K00436	1	Prochlorococcus	1.12.1.2	K00436,K18005,K18006,K18007	K18007	1.12.1.2
K00464	1	Prochlorococcus	1.13.11.75	K00464	K00464	1.13.11.75
K00507	1	Prochlorococcus	1.14.19.1	K00507	K00507	1.14.19.1
K00514	1	Prochlorococcus	1.3.5.6	K00514	K00514	1.3.5.6
K00518	1	Prochlorococcus	1.15.1.1	K00518,K04564,K04565,K16627	K00518	1.15.1.1
K00518	1	Prochlorococcus	1.15.1.1	K00518,K04564,K04565,K16627	K04564	1.15.1.1
K00518	1	Prochlorococcus	1.15.1.1	K00518,K04564,K04565,K16627	K04565	1.15.1.1
K00518	1	Prochlorococcus	1.15.1.1	K00518,K04564,K04565,K16627	K16627	1.15.1.1
K00524	1	Prochlorococcus	1.17.4.2	K00524,K00527	K00524	1.17.4.2
