KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K05586	1	Synechocystis	7.1.1.2	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	7.1.1.2
K05587	1	Synechocystis	7.1.1.2	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	7.1.1.2
K05588	1	Synechocystis	7.1.1.2	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	7.1.1.2
K05592	1	Synechocystis	5.6.2.7	K03732,K05590,K05592,K11273,K11594,K11927,K12614,K12811,K12812,K12823,K12835,K12858,K13025,K13116,K13131,K13177,K13178,K13179,K13181,K13182,K13183,K13982,K14776,K14777,K14778,K14779,K14805,K14806,K14807,K14808,K14809,K14810,K14811,K16911,K17043,K17642,K17678,K17679,K18655,K18656,K18692,K19466,K20096,K20103,K21869	K03732,K05590,K05592,K11273,K11594,K11927,K12614,K12811,K12812,K12823,K12835,K12858,K13025,K13116,K13131,K13177,K13178,K13179,K13181,K13182,K13183,K13982,K14776,K14777,K14778,K14779,K14805,K14806,K14807,K14808,K14809,K14810,K14811,K16911,K17043,K17642,K17678,K17679,K18655,K18656,K18692,K19466,K20096,K20103,K21869	5.6.2.7
K05770	1	Synechocystis			K05770	
K05795	1	Synechocystis			K05795	
K05808	1	Synechocystis			K05808	
K05810	1	Synechocystis	2.4.2.1,2.4.2.28,3.5.4.4	K03783,K03784,K05810,K09913,K01488,K05810,K19572,K00772,K05810	K00772,K01488,K03783,K03784,K05810,K09913,K19572	2.4.2.1,2.4.2.28,3.5.4.4
K05895	1	Synechocystis	1.3.1.54,1.3.1.106	K05895	K05895	1.3.1.106,1.3.1.54
K05896	1	Synechocystis			K05896	
K05916	1	Synechocystis	1.14.12.17	K05916	K05916	1.14.12.17
K05928	1	Synechocystis	2.1.1.95	K05928	K05928	2.1.1.95
K05936	1	Synechocystis	2.1.1.133,2.1.1.271	K05936	K05936	2.1.1.133,2.1.1.271
K05946	1	Synechocystis	2.4.1.187	K05946	K05946	2.4.1.187
K05978	1	Synechocystis	3.1.3.69	K05978	K05978	3.1.3.69
K05979	1	Synechocystis	3.1.3.71	K05979	K05979	3.1.3.71
K06024	1	Synechocystis			K06024	
K06042	1	Synechocystis	5.4.99.61,5.4.99.60	K06042	K06042	5.4.99.60,5.4.99.61
